,1,2
277,1.5829,1.5053
278,1.5703,1.4946
279,1.5932,1.4911
280,1.5854,1.5017
281,1.6156,1.5066
282,1.5843,1.5231
283,1.5797,1.4817
284,1.6024,1.502
285,1.5707,1.4881
286,1.5968,1.5092
287,1.5888,1.5006
288,1.5986,1.5002
289,1.6078,1.4958
290,1.5887,1.4975
291,1.6059,1.502
292,1.5946,1.4873
293,1.6077,1.5063
294,1.5884,1.4918
295,1.5941,1.4979
296,1.5766,1.4935
297,1.574,1.476
298,1.6185,1.517
299,1.6018,1.5118
300,1.6098,1.5067
301,1.5642,1.4807
302,1.6091,1.4891
303,1.5755,1.4951
304,1.6011,1.5114
305,1.5906,1.5169
306,1.613,1.491
307,1.5773,1.5005
308,1.5892,1.5001
309,1.5922,1.4899
310,1.5772,1.4919
311,1.6163,1.4961
312,1.6132,1.5058
313,1.5899,1.5008
314,1.5975,1.5036
315,1.5965,1.5293
316,1.5881,1.5157
317,1.596,1.493
318,1.5782,1.4757
319,1.5681,1.5051
320,1.6088,1.4973
321,1.587,1.4842
322,1.5952,1.4933
323,1.5763,1.5165
324,1.5918,1.5118
325,1.5771,1.51
326,1.5819,1.4853
327,1.5967,1.4867
328,1.5806,1.4978
329,1.5966,1.5081
330,1.5879,1.5008
331,1.5992,1.4923
332,1.5937,1.5045
333,1.5858,1.4908
334,1.5892,1.4984
335,1.5929,1.4895
336,1.5964,1.4807
337,1.6072,1.5157
338,1.5682,1.4841
339,1.5796,1.4847
340,1.5853,1.4932
341,1.5693,1.4817
342,1.5934,1.5063
343,1.5864,1.4785
344,1.5901,1.5084
345,1.5247,1.4699
346,1.6155,1.4992
347,1.571,1.5092
348,1.5853,1.5212
349,1.5646,1.4862
350,1.5889,1.4891
351,1.5957,1.4993
352,1.5923,1.4862
353,1.6076,1.5021
354,1.6058,1.5117
355,1.5823,1.4962
356,1.5946,1.499
357,1.6144,1.5196
358,1.614,1.5107
359,1.5891,1.5101
360,1.5884,1.4957
361,1.6043,1.4917
362,1.5874,1.5093
363,1.5917,1.5153
364,1.628,1.5267
365,1.588,1.4896
366,1.5934,1.5062
367,1.6057,1.494
368,1.575,1.4974
369,1.577,1.4899
370,1.6165,1.4942
371,1.5889,1.4987
372,1.5841,1.4997
373,1.5818,1.4925
374,1.5839,1.5122
375,1.5703,1.493
376,1.5885,1.5171
377,1.5757,1.4769
378,1.5856,1.5008
379,1.5799,1.4783
380,1.5878,1.4979
381,1.613,1.5145
382,1.5873,1.5037
383,1.5945,1.5012
384,1.6056,1.5076
385,1.6028,1.4884
386,1.583,1.486
387,1.5622,1.4736
388,1.5852,1.5062
389,1.5486,1.4735
390,1.5913,1.4973
391,1.5874,1.5185
392,1.5962,1.5041
393,1.5885,1.4856
394,1.6108,1.4984
395,1.6222,1.5293
396,1.5754,1.4797
397,1.6022,1.4993
398,1.6119,1.5188
399,1.5913,1.5162
400,1.5796,1.507
401,1.605,1.5135
402,1.5757,1.487
403,1.5847,1.4833
404,1.6057,1.504
405,1.5835,1.4934
406,1.5928,1.4955
407,1.576,1.4775
408,1.5734,1.4762
409,1.6066,1.5167
410,1.6112,1.5203
411,1.5935,1.5148
412,1.5711,1.4829
413,1.5837,1.4887
414,1.5738,1.4857
415,1.5987,1.5223
416,1.5925,1.4983
417,1.5916,1.5018
418,1.5695,1.4941
419,1.6317,1.5098
420,1.5837,1.4932
421,1.5978,1.5078
422,1.5711,1.4947
423,1.6004,1.5204
424,1.6194,1.5179
425,1.5874,1.4963
426,1.5547,1.4798
427,1.5963,1.5192
428,1.576,1.4843
429,1.5701,1.4838
430,1.6012,1.5039
431,1.6103,1.4967
432,1.5852,1.4722
433,1.6176,1.5082
434,1.5816,1.4915
435,1.5911,1.5147
436,1.5736,1.4993
437,1.6012,1.4845
438,1.5996,1.5185
439,1.5811,1.4752
440,1.5816,1.4902
441,1.5934,1.4927
442,1.5863,1.5045
443,1.5728,1.4946
444,1.6024,1.4948
445,1.5919,1.5059
446,1.6034,1.5182
447,1.5729,1.4919
448,1.5912,1.4898
449,1.607,1.519
450,1.5872,1.4918
451,1.5874,1.5202
452,1.5966,1.4973
453,1.6117,1.5032
454,1.5762,1.4998
455,1.5797,1.4841
456,1.6264,1.5426
457,1.5899,1.4845
458,1.592,1.5083
459,1.5954,1.4952
460,1.6215,1.5406
461,1.5926,1.4958
462,1.5948,1.4935
463,1.5804,1.5183
464,1.5966,1.5227
465,1.5746,1.4881
466,1.5915,1.4997
467,1.5954,1.487
468,1.5716,1.4975
469,1.6099,1.5019
470,1.596,1.4743
471,1.6022,1.5065
472,1.5979,1.497
473,1.5989,1.5162
474,1.6073,1.5099
475,1.5907,1.482
476,1.5693,1.4889
477,1.6019,1.5094
478,1.5774,1.4904
479,1.593,1.5242
480,1.5947,1.4993
481,1.5928,1.5114
482,1.6172,1.5191
483,1.6038,1.5311
484,1.5932,1.5232
485,1.6184,1.5255
486,1.6134,1.5048
487,1.5914,1.5039
488,1.5991,1.4892
489,1.6096,1.5015
490,1.5627,1.4808
491,1.5997,1.4934
492,1.5499,1.4889
493,1.5896,1.4959
494,1.5916,1.5025
495,1.6137,1.5171
496,1.5794,1.4824
497,1.6111,1.499
498,1.5842,1.4902
499,1.6222,1.531
500,1.5807,1.5037
501,1.5972,1.4909
502,1.597,1.506
503,1.5914,1.5123
504,1.5963,1.4941
505,1.5939,1.4967
506,1.6074,1.4956
507,1.5919,1.4904
508,1.6,1.4913
509,1.5939,1.5046
510,1.5992,1.5006
511,1.5797,1.5274
512,1.5919,1.5056
513,1.5889,1.5138
514,1.6007,1.5358
515,1.6078,1.4994
516,1.5938,1.5114
517,1.6126,1.5113
518,1.5912,1.5107
519,1.6067,1.5097
520,1.5548,1.4692
521,1.5876,1.4983
522,1.5968,1.5003
523,1.6024,1.5333
524,1.5931,1.5136
525,1.6114,1.4995
526,1.5984,1.4978
527,1.5587,1.4905
528,1.6046,1.5151
529,1.5988,1.4844
530,1.5876,1.5013
531,1.607,1.4926
532,1.5755,1.4781
533,1.5893,1.4964
534,1.5935,1.5124
535,1.5828,1.4824
536,1.6065,1.5044
537,1.5922,1.4814
538,1.597,1.523
539,1.622,1.5126
540,1.6143,1.5036
541,1.591,1.5086
542,1.5671,1.4999
543,1.6037,1.5022
544,1.6028,1.4806
545,1.5789,1.4921
546,1.5738,1.4923
547,1.6152,1.4926
548,1.6082,1.5138
549,1.5878,1.5146
550,1.599,1.5058
551,1.5987,1.493
552,1.6111,1.5162
553,1.6092,1.5075
554,1.6089,1.4763
555,1.5758,1.4855
556,1.5936,1.4857
557,1.5994,1.5005
558,1.5961,1.4974
559,1.6216,1.5078
560,1.5942,1.5137
561,1.5965,1.4885
562,1.5933,1.49
563,1.599,1.5139
564,1.5866,1.4865
565,1.6039,1.5256
566,1.5885,1.5295
567,1.5659,1.4761
568,1.5961,1.5066
569,1.5854,1.4993
570,1.6002,1.5048
571,1.5949,1.5187
572,1.5835,1.4748
573,1.5894,1.4973
574,1.5944,1.5201
575,1.6259,1.4983
576,1.5949,1.4773
577,1.6192,1.5042
578,1.5759,1.4994
579,1.593,1.4861
580,1.5972,1.5035
581,1.5844,1.4902
582,1.5842,1.5186
583,1.5871,1.4856
584,1.595,1.5032
585,1.5806,1.4886
586,1.5903,1.5027
587,1.6111,1.5301
588,1.5541,1.4919
589,1.5874,1.4736
590,1.5938,1.4898
591,1.6065,1.4913
592,1.5903,1.4829
593,1.6119,1.4961
594,1.5735,1.4778
595,1.6086,1.5051
596,1.6138,1.5339
597,1.5841,1.4931
598,1.6115,1.5153
599,1.6164,1.5153
600,1.5777,1.4895
601,1.591,1.5054
602,1.6103,1.5086
603,1.6172,1.509
604,1.5857,1.5237
605,1.597,1.497
606,1.5791,1.4967
607,1.5775,1.5086
608,1.6085,1.5225
609,1.5797,1.5145
610,1.6144,1.4933
611,1.5968,1.4887
612,1.6037,1.5288
613,1.5994,1.5021
614,1.564,1.4939
615,1.5815,1.5165
616,1.5812,1.4891
617,1.6011,1.4864
618,1.6143,1.5145
619,1.5796,1.497
620,1.5901,1.5163
621,1.6071,1.5058
622,1.5971,1.5284
623,1.6016,1.5136
624,1.5913,1.4987
625,1.5914,1.5024
626,1.5944,1.4977
627,1.6153,1.5354
628,1.6086,1.5344
629,1.5924,1.5095
630,1.6082,1.5095
631,1.5607,1.4943
632,1.577,1.5028
633,1.6159,1.5349
634,1.5864,1.5036
635,1.5902,1.4999
636,1.5922,1.48
637,1.5976,1.4881
638,1.6047,1.4997
639,1.6103,1.4988
640,1.5894,1.5257
641,1.5978,1.5054
642,1.5905,1.522
643,1.5896,1.4858
644,1.6033,1.5079
645,1.5946,1.5124
646,1.5919,1.5063
647,1.5965,1.4985
648,1.5812,1.488
649,1.6038,1.4943
650,1.5653,1.5026
651,1.6037,1.493
652,1.5876,1.4787
653,1.5985,1.5073
654,1.5921,1.5052
655,1.6158,1.5201
656,1.5775,1.5188
657,1.5816,1.4819
658,1.5799,1.4953
659,1.5692,1.4801
660,1.579,1.4933
661,1.615,1.5092
662,1.6093,1.5056
663,1.6235,1.506
664,1.5942,1.4967
665,1.6077,1.497
666,1.5726,1.5132
667,1.5819,1.499
668,1.583,1.4969
669,1.5684,1.4711
670,1.5912,1.5285
671,1.6183,1.5004
672,1.5951,1.5047
673,1.5676,1.4857
674,1.5869,1.488
675,1.578,1.5049
676,1.5857,1.5145
677,1.6041,1.5213
678,1.5941,1.5021
679,1.595,1.4859
680,1.5706,1.5023
681,1.6069,1.5062
682,1.615,1.5233
683,1.6123,1.5164
684,1.5902,1.5105
685,1.5876,1.5127
686,1.5928,1.5191
687,1.592,1.4983
688,1.6111,1.4974
689,1.6009,1.508
690,1.6036,1.5183
691,1.5835,1.4886
692,1.6022,1.4894
